Beta,mu_IR,rho,eta,N,loglik,loglik.se
55.80098466222056,7.850102929667589,0.052922424385125455,0.08858156452492927,9984000,-940.3862382432369,95.22969885465646
80.05586042602133,14.059175807924213,0.04549605395389595,0.08424000902658851,9984000,-974.6335407748197,105.05217538338445
59.20750650311048,7.3512824713892435,0.03651214491084792,0.08758798072304608,9984000,-1188.60681155269,24.007086646815782
31,2.5,0.025,0.0853,9984000,-1278.124951285346,6.8688450664252745
79.63841437201582,9.621641602398274,0.041303971657764484,0.07551125248176305,9984000,-2158.9343179781467,7.903760998881527
87.52740181961728,12.161748452970967,0.04899941139790804,0.07567124041372003,9984000,-2493.6774664051904,159.21926884547509
87.74343835000067,19.161135292297946,0.04346447189840488,0.08612343882106903,9984000,-4875.65731327058,NA
60.83352689674686,5.362512038754682,0.03161967672585696,0.07623718239150708,9984000,-5415.133765162445,105.17384699194663
62.909008795565256,4.841400878744772,0.03565291409640048,0.07166752208893687,9984000,-9948.64569497163,49.28371214506679
71.74063647370451,7.155355298573048,0.031181326216415877,0.07793132781811916,9984000,-13302.285971551299,219.77558854668678
