date,count
2021-01-06,<1
2021-01-07,<1
2021-01-08,<1
2021-01-09,<1
2021-01-10,<1
2021-01-11,1
2021-01-12,<1
2021-01-13,2
2021-01-14,3
2021-01-15,2
2021-01-16,1
2021-01-17,<1
2021-01-18,1
2021-01-19,3
2021-01-20,2
2021-01-21,3
2021-01-22,6
2021-01-23,3
2021-01-24,2
2021-01-25,15
2021-01-26,25
2021-01-27,50
2021-01-28,100
2021-01-29,94
2021-01-30,27
2021-01-31,14
2021-02-01,53
2021-02-02,59
2021-02-03,45
2021-02-04,32
2021-02-05,28
2021-02-06,9
2021-02-07,4
2021-02-08,13
2021-02-09,14
2021-02-10,10
2021-02-11,7
2021-02-12,6
2021-02-13,2
2021-02-14,1
2021-02-15,3
2021-02-16,4
2021-02-17,4
2021-02-18,6
2021-02-19,5
2021-02-20,2
2021-02-21,2
2021-02-22,6
2021-02-23,5
2021-02-24,16
2021-02-25,43
2021-02-26,23
2021-02-27,5
2021-02-28,3
2021-03-01,13
2021-03-02,13
2021-03-03,11
2021-03-04,9
2021-03-05,10
2021-03-06,3
2021-03-07,2
2021-03-08,14
2021-03-09,21
2021-03-10,29
2021-03-11,20
2021-03-12,17
2021-03-13,4
2021-03-14,2
2021-03-15,13
2021-03-16,13
2021-03-17,11
2021-03-18,9
2021-03-19,11
2021-03-20,2
2021-03-21,1
2021-03-22,9
2021-03-23,12
2021-03-24,13
2021-03-25,12
2021-03-26,12
2021-03-27,2
2021-03-28,1
2021-03-29,8
2021-03-30,9
2021-03-31,7
2021-04-01,7
2021-04-02,3
2021-04-03,1
